Latitude,Longitude,Signal_Strength_dBm,Color_Band,Popup_Label
47.9210,106.9180,-55,Excellent,"-55 dBm (Excellent)"
47.9210,106.9190,-65,Good,"-65 dBm (Good)"
47.9210,106.9200,-75,Fair,"-75 dBm (Fair)"
47.9210,106.9210,-85,Poor,"-85 dBm (Poor)"
47.9210,106.9220,-95,No Signal,"-95 dBm (No Signal)"
47.9220,106.9180,-60,Excellent,"-60 dBm (Excellent)"
47.9220,106.9190,-70,Good,"-70 dBm (Good)"
47.9220,106.9200,-80,Fair,"-80 dBm (Fair)"
47.9220,106.9210,-90,Poor,"-90 dBm (Poor)"
47.9220,106.9220,-100,No Signal,"-100 dBm (No Signal)"
47.9230,106.9180,-58,Excellent,"-58 dBm (Excellent)"
47.9230,106.9190,-68,Good,"-68 dBm (Good)"
47.9230,106.9200,-78,Fair,"-78 dBm (Fair)"
47.9230,106.9210,-88,Poor,"-88 dBm (Poor)"
47.9230,106.9220,-98,No Signal,"-98 dBm (No Signal)"
47.9240,106.9180,-62,Excellent,"-62 dBm (Excellent)"
47.9240,106.9190,-72,Good,"-72 dBm (Good)"
47.9240,106.9200,-82,Fair,"-82 dBm (Fair)"
47.9240,106.9210,-92,Poor,"-92 dBm (Poor)"
47.9240,106.9220,-102,No Signal,"-102 dBm (No Signal)"
47.9200,106.9180,-52,Excellent,"-52 dBm (Excellent)"
47.9200,106.9190,-62,Good,"-62 dBm (Good)"
47.9200,106.9200,-72,Fair,"-72 dBm (Fair)"
47.9200,106.9210,-82,Poor,"-82 dBm (Poor)"
47.9200,106.9220,-92,No Signal,"-92 dBm (No Signal)" 